DATE,Ibov,CDI
2007-12-31,18.10445,63886.1
2008-01-01,18.10445,63886.1
2008-01-02,18.11202,62815.1
2008-01-03,18.11959,62892.0
2008-01-04,18.12715,61036.6
2008-01-05,18.12715,61036.6
2008-01-06,18.12715,61036.6
2008-01-07,18.13468,60772.1
2008-01-08,18.14225,62080.7
2008-01-09,18.14982,62673.7
2008-01-10,18.1574,63515.5
2008-01-11,18.165,61942.4
2008-01-12,18.165,61942.4
2008-01-13,18.165,61942.4
2008-01-14,18.17258,62187.8
2008-01-15,18.18016,59907.1
2008-01-16,18.18775,58777.4
2008-01-17,18.19533,57036.9
2008-01-18,18.20291,57506.5
2008-01-19,18.20291,57506.5
2008-01-20,18.20291,57506.5
2008-01-21,18.2105,53709.1
2008-01-22,18.21809,56097.2
2008-01-23,18.22569,54234.8
2008-01-24,18.23329,57463.3
2008-01-25,18.24091,57463.3
2008-01-26,18.24091,57463.3
2008-01-27,18.24091,57463.3
2008-01-28,18.24852,58593.8
2008-01-29,18.25614,59529.6
2008-01-30,18.26375,60289.4
2008-01-31,18.27137,59490.4
2008-02-01,18.27901,61079.8
2008-02-02,18.27901,61079.8
2008-02-03,18.27901,61079.8
2008-02-04,18.27901,61079.8
2008-02-05,18.27901,61079.8
2008-02-06,18.28664,58968.5
2008-02-07,18.29428,58965.5
2008-02-08,18.30191,59076.0
2008-02-09,18.30191,59076.0
2008-02-10,18.30191,59076.0
2008-02-11,18.30955,60643.2
2008-02-12,18.31719,61805.5
2008-02-13,18.32484,62590.6
2008-02-14,18.33248,61819.0
2008-02-15,18.34012,61271.9
2008-02-16,18.34012,61271.9
2008-02-17,18.34012,61271.9
2008-02-18,18.34776,62801.4
2008-02-19,18.3554,62296.5
2008-02-20,18.36304,63747.5
2008-02-21,18.37069,63792.2
2008-02-22,18.37833,64608.8
2008-02-23,18.37833,64608.8
2008-02-24,18.37833,64608.8
2008-02-25,18.38598,65000.9
2008-02-26,18.39364,65182.6
2008-02-27,18.4013,65494.9
2008-02-28,18.40897,65555.1
2008-02-29,18.41665,63489.3
2008-03-01,18.41665,63489.3
2008-03-02,18.41665,63489.3
2008-03-03,18.42433,64490.5
2008-03-04,18.43203,63655.5
2008-03-05,18.43972,64629.5
2008-03-06,18.44741,62974.6
2008-03-07,18.45511,61868.0
2008-03-08,18.45511,61868.0
2008-03-09,18.45511,61868.0
2008-03-10,18.46281,59999.3
2008-03-11,18.47052,62367.7
2008-03-12,18.47824,62176.6
2008-03-13,18.48594,62279.7
2008-03-14,18.49365,61991.0
2008-03-15,18.49365,61991.0
2008-03-16,18.49365,61991.0
2008-03-17,18.50138,60011.8
2008-03-18,18.5091,61932.8
2008-03-19,18.51683,58827.4
2008-03-20,18.52456,58987.3
2008-03-21,18.52456,58987.3
2008-03-22,18.52456,58987.3
2008-03-23,18.52456,58987.3
2008-03-24,18.53231,59812.5
2008-03-25,18.54005,61234.1
2008-03-26,18.5478,61415.3
2008-03-27,18.55554,60761.7
2008-03-28,18.56329,60452.1
2008-03-29,18.56329,60452.1
2008-03-30,18.56329,60452.1
2008-03-31,18.57103,60968.1
2008-04-01,18.57883,62774.9
2008-04-02,18.58661,63364.4
2008-04-03,18.59438,64175.1
2008-04-04,18.60218,64446.0
2008-04-05,18.60218,64446.0
2008-04-06,18.60218,64446.0
2008-04-07,18.60997,64175.6
2008-04-08,18.61778,64539.5
2008-04-09,18.62557,63476.9
2008-04-10,18.63335,63527.1
2008-04-11,18.64114,62585.2
2008-04-12,18.64114,62585.2
2008-04-13,18.64114,62585.2
2008-04-14,18.64893,62153.4
2008-04-15,18.65673,62618.4
2008-04-16,18.66454,64151.9
2008-04-17,18.67235,64552.4
2008-04-18,18.6805,64922.7
2008-04-19,18.6805,64922.7
2008-04-20,18.6805,64922.7
2008-04-21,18.6805,64922.7
2008-04-22,18.68865,65412.7
2008-04-23,18.6968,64947.5
2008-04-24,18.70493,64576.3
2008-04-25,18.71306,65187.3
2008-04-26,18.71306,65187.3
2008-04-27,18.71306,65187.3
2008-04-28,18.72121,65677.7
2008-04-29,18.72935,63825.7
2008-04-30,18.73749,67868.5
2008-05-01,18.73749,67868.5
2008-05-02,18.74563,69366.4
2008-05-03,18.74563,69366.4
2008-05-04,18.74563,69366.4
2008-05-05,18.75378,70174.9
2008-05-06,18.76193,70195.3
2008-05-07,18.77007,69017.7
2008-05-08,18.77822,69722.3
2008-05-09,18.78636,69645.7
2008-05-10,18.78636,69645.7
2008-05-11,18.78636,69645.7
2008-05-12,18.79452,70415.8
2008-05-13,18.80268,70503.3
2008-05-14,18.81084,70026.6
2008-05-15,18.819,71492.4
2008-05-16,18.82716,72766.9
2008-05-17,18.82716,72766.9
2008-05-18,18.82716,72766.9
2008-05-19,18.83532,73438.8
2008-05-20,18.84347,73516.8
2008-05-21,18.85165,72294.8
2008-05-22,18.85165,72294.8
2008-05-23,18.85983,71451.8
2008-05-24,18.85983,71451.8
2008-05-25,18.85983,71451.8
2008-05-26,18.868,71628.7
2008-05-27,18.87619,70992.1
2008-05-28,18.88438,73153.2
2008-05-29,18.89256,71797.5
2008-05-30,18.90075,72592.5
2008-05-31,18.90075,72592.5
2008-06-01,18.90075,72592.5
2008-06-02,18.90895,71897.3
2008-06-03,18.91716,70011.9
2008-06-04,18.92536,68673.1
2008-06-05,18.93355,71209.1
2008-06-06,18.94209,69785.9
2008-06-07,18.94209,69785.9
2008-06-08,18.94209,69785.9
2008-06-09,18.95063,69281.2
2008-06-10,18.95918,67774.9
2008-06-11,18.96775,66794.8
2008-06-12,18.97633,67319.6
2008-06-13,18.98492,67203.5
2008-06-14,18.98492,67203.5
2008-06-15,18.98492,67203.5
2008-06-16,18.99351,67284.6
2008-06-17,19.0021,68437.5
2008-06-18,19.0107,67090.5
2008-06-19,19.01929,66590.4
2008-06-20,19.02789,64613.8
2008-06-21,19.02789,64613.8
2008-06-22,19.02789,64613.8
2008-06-23,19.03649,64640.4
2008-06-24,19.04511,64167.8
2008-06-25,19.05373,65853.3
2008-06-26,19.06236,63946.9
2008-06-27,19.07098,64321.1
2008-06-28,19.07098,64321.1
2008-06-29,19.07098,64321.1
2008-06-30,19.0796,65017.6
2008-07-01,19.08825,63396.2
2008-07-02,19.09695,61106.2
2008-07-03,19.10563,59273.4
2008-07-04,19.11429,59365.4
2008-07-05,19.11429,59365.4
2008-07-06,19.11429,59365.4
2008-07-07,19.12297,59088.2
2008-07-08,19.13165,59535.9
2008-07-09,19.14034,59535.9
2008-07-10,19.14905,60252.7
2008-07-11,19.15774,60148.3
2008-07-12,19.15774,60148.3
2008-07-13,19.15774,60148.3
2008-07-14,19.16644,60720.9
2008-07-15,19.17512,61015.1
2008-07-16,19.1838,62056.5
2008-07-17,19.19249,60108.7
2008-07-18,19.20119,59988.1
2008-07-19,19.20119,59988.1
2008-07-20,19.20119,59988.1
2008-07-21,19.20989,60771.8
2008-07-22,19.2186,59647.3
2008-07-23,19.22729,59420.9
2008-07-24,19.23599,57434.4
2008-07-25,19.24521,57199.1
2008-07-26,19.24521,57199.1
2008-07-27,19.24521,57199.1
2008-07-28,19.25444,56869.0
2008-07-29,19.26367,58042.9
2008-07-30,19.2729,59997.6
2008-07-31,19.28214,59505.2
2008-08-01,19.29139,57630.4
2008-08-02,19.29139,57630.4
2008-08-03,19.29139,57630.4
2008-08-04,19.30067,55609.1
2008-08-05,19.30994,56470.6
2008-08-06,19.31922,57542.5
2008-08-07,19.3285,57017.6
2008-08-08,19.33779,56584.4
2008-08-09,19.33779,56584.4
2008-08-10,19.33779,56584.4
2008-08-11,19.34707,54720.3
2008-08-12,19.35635,54503.0
2008-08-13,19.36563,54573.2
2008-08-14,19.37492,55138.4
2008-08-15,19.38422,54244.0
2008-08-16,19.38422,54244.0
2008-08-17,19.38422,54244.0
2008-08-18,19.39352,53326.5
2008-08-19,19.40285,53638.7
2008-08-20,19.41217,55377.1
2008-08-21,19.42149,55934.7
2008-08-22,19.43082,55850.1
2008-08-23,19.43082,55850.1
2008-08-24,19.43082,55850.1
2008-08-25,19.44013,54477.3
2008-08-26,19.44946,54358.7
2008-08-27,19.45879,55519.2
2008-08-28,19.46812,56382.2
2008-08-29,19.47745,55680.4
2008-08-30,19.47745,55680.4
2008-08-31,19.47745,55680.4
2008-09-01,19.48678,55162.1
2008-09-02,19.49612,54404.4
2008-09-03,19.50546,53527.0
2008-09-04,19.51484,51408.5
2008-09-05,19.52419,51939.6
2008-09-06,19.52419,51939.6
2008-09-07,19.52419,51939.6
2008-09-08,19.53353,50718.0
2008-09-09,19.54293,48435.3
2008-09-10,19.55232,49633.2
2008-09-11,19.56172,51270.4
2008-09-12,19.57164,52392.9
2008-09-13,19.57164,52392.9
2008-09-14,19.57164,52392.9
2008-09-15,19.58154,48416.3
2008-09-16,19.59145,49228.9
2008-09-17,19.60136,45908.5
2008-09-18,19.61127,48422.8
2008-09-19,19.62118,53055.4
2008-09-20,19.62118,53055.4
2008-09-21,19.62118,53055.4
2008-09-22,19.63115,51540.6
2008-09-23,19.64114,49593.2
2008-09-24,19.65109,49843.0
2008-09-25,19.66103,51828.5
2008-09-26,19.67098,50783.0
2008-09-27,19.67098,50783.0
2008-09-28,19.67098,50783.0
2008-09-29,19.68094,46028.1
2008-09-30,19.69089,49541.3
2008-10-01,19.70084,49798.6
2008-10-02,19.7108,46145.1
2008-10-03,19.72079,44517.3
2008-10-04,19.72079,44517.3
2008-10-05,19.72079,44517.3
2008-10-06,19.7308,42100.8
2008-10-07,19.74089,40139.9
2008-10-08,19.75095,38593.5
2008-10-09,19.761,37080.3
2008-10-10,19.77103,35609.5
2008-10-11,19.77103,35609.5
2008-10-12,19.77103,35609.5
2008-10-13,19.78108,40829.1
2008-10-14,19.79117,41569.0
2008-10-15,19.80121,36833.0
2008-10-16,19.81129,36441.7
2008-10-17,19.82136,36399.1
2008-10-18,19.82136,36399.1
2008-10-19,19.82136,36399.1
2008-10-20,19.83142,39441.1
2008-10-21,19.84151,39043.4
2008-10-22,19.85156,35069.7
2008-10-23,19.86157,33818.5
2008-10-24,19.87163,31481.6
2008-10-25,19.87163,31481.6
2008-10-26,19.87163,31481.6
2008-10-27,19.8817,29435.1
2008-10-28,19.89179,33386.6
2008-10-29,19.90188,34845.2
2008-10-30,19.91197,37448.8
2008-10-31,19.92203,37256.8
2008-11-01,19.92203,37256.8
2008-11-02,19.92203,37256.8
2008-11-03,19.9321,38249.4
2008-11-04,19.94218,40254.8
2008-11-05,19.95224,37785.7
2008-11-06,19.96231,36361.9
2008-11-07,19.97235,36665.1
2008-11-08,19.97235,36665.1
2008-11-09,19.97235,36665.1
2008-11-10,19.98238,36776.3
2008-11-11,19.99242,37261.9
2008-11-12,20.00245,34374.0
2008-11-13,20.01243,35993.3
2008-11-14,20.02231,35789.1
2008-11-15,20.02231,35789.1
2008-11-16,20.02231,35789.1
2008-11-17,20.03219,35717.2
2008-11-18,20.04211,34094.7
2008-11-19,20.05201,33404.6
2008-11-20,20.06168,33404.6
2008-11-21,20.07132,31250.6
2008-11-22,20.07132,31250.6
2008-11-23,20.07132,31250.6
2008-11-24,20.08111,34188.8
2008-11-25,20.09097,34812.9
2008-11-26,20.10081,36469.6
2008-11-27,20.11067,36212.6
2008-11-28,20.12058,36595.9
2008-11-29,20.12058,36595.9
2008-11-30,20.12058,36595.9
2008-12-01,20.13059,34740.5
2008-12-02,20.14069,35000.8
2008-12-03,20.1508,35296.7
2008-12-04,20.1609,35127.8
2008-12-05,20.17101,35347.4
2008-12-06,20.17101,35347.4
2008-12-07,20.17101,35347.4
2008-12-08,20.18113,38284.9
2008-12-09,20.19124,37968.1
2008-12-10,20.20137,39004.4
2008-12-11,20.21149,38519.1
2008-12-12,20.22162,39373.9
2008-12-13,20.22162,39373.9
2008-12-14,20.22162,39373.9
2008-12-15,20.23175,38320.2
2008-12-16,20.24189,39993.5
2008-12-17,20.25204,39947.4
2008-12-18,20.26221,39536.3
2008-12-19,20.27239,39131.2
2008-12-20,20.27239,39131.2
2008-12-21,20.27239,39131.2
2008-12-22,20.28255,37618.5
2008-12-23,20.29275,36470.8
2008-12-24,20.30293,36470.8
2008-12-25,20.30293,36470.8
2008-12-26,20.31315,36864.1
2008-12-27,20.31315,36864.1
2008-12-28,20.31315,36864.1
2008-12-29,20.32337,37060.2
2008-12-30,20.33365,37550.3
2008-12-31,20.34395,37550.3
2009-01-01,20.34395,37550.3
2009-01-02,20.35426,40244.2
2009-01-03,20.35426,40244.2
2009-01-04,20.35426,40244.2
2009-01-05,20.36457,41518.7
2009-01-06,20.37487,42312.3
2009-01-07,20.38519,40820.3
2009-01-08,20.39551,41990.6
2009-01-09,20.40583,41582.9
2009-01-10,20.40583,41582.9
2009-01-11,20.40583,41582.9
2009-01-12,20.41617,39403.5
2009-01-13,20.4265,39544.2
2009-01-14,20.43684,37981.8
2009-01-15,20.44718,39151.1
2009-01-16,20.45755,39341.5
2009-01-17,20.45755,39341.5
2009-01-18,20.45755,39341.5
2009-01-19,20.46791,38828.3
2009-01-20,20.47811,37272.1
2009-01-21,20.48837,38542.9
2009-01-22,20.49874,37894.3
2009-01-23,20.50841,38132.4
2009-01-24,20.50841,38132.4
2009-01-25,20.50841,38132.4
2009-01-26,20.51807,38509.4
2009-01-27,20.52775,38698.9
2009-01-28,20.53744,40227.4
2009-01-29,20.54712,39638.4
2009-01-30,20.55682,39300.8
2009-01-31,20.55682,39300.8
2009-02-01,20.55682,39300.8
2009-02-02,20.56651,38666.4
2009-02-03,20.57622,39746.8
2009-02-04,20.58592,40129.0
2009-02-05,20.59564,41108.6
2009-02-06,20.60537,42755.5
2009-02-07,20.60537,42755.5
2009-02-08,20.60537,42755.5
2009-02-09,20.61509,42100.1
2009-02-10,20.62482,41207.4
2009-02-11,20.63455,40845.6
2009-02-12,20.64429,40500.8
2009-02-13,20.65403,41673.6
2009-02-14,20.65403,41673.6
2009-02-15,20.65403,41673.6
2009-02-16,20.66378,41841.3
2009-02-17,20.67353,39847.0
2009-02-18,20.68328,39674.4
2009-02-19,20.69304,39730.3
2009-02-20,20.7028,38714.6
2009-02-21,20.7028,38714.6
2009-02-22,20.7028,38714.6
2009-02-23,20.7028,38714.6
2009-02-24,20.7028,38714.6
2009-02-25,20.71257,38231.6
2009-02-26,20.72234,38180.2
2009-02-27,20.73211,38183.3
2009-02-28,20.73211,38183.3
2009-03-01,20.73211,38183.3
2009-03-02,20.74188,36234.7
2009-03-03,20.75166,36467.6
2009-03-04,20.76145,38402.2
2009-03-05,20.77124,37368.9
2009-03-06,20.78104,37105.1
2009-03-07,20.78104,37105.1
2009-03-08,20.78104,37105.1
2009-03-09,20.79084,36741.4
2009-03-10,20.80065,38794.6
2009-03-11,20.81046,38804.8
2009-03-12,20.82026,39151.9
2009-03-13,20.82898,39015.4
2009-03-14,20.82898,39015.4
2009-03-15,20.82898,39015.4
2009-03-16,20.8377,38607.2
2009-03-17,20.84636,39510.7
2009-03-18,20.85501,40142.3
2009-03-19,20.86373,40453.4
2009-03-20,20.87247,40076.4
2009-03-21,20.87247,40076.4
2009-03-22,20.87247,40076.4
2009-03-23,20.88122,42438.6
2009-03-24,20.88996,41475.8
2009-03-25,20.8987,41799.3
2009-03-26,20.90745,42588.7
2009-03-27,20.9162,41907.3
2009-03-28,20.9162,41907.3
2009-03-29,20.9162,41907.3
2009-03-30,20.92494,40653.1
2009-03-31,20.93363,40925.9
2009-04-01,20.94236,41976.3
2009-04-02,20.95113,43736.4
2009-04-03,20.95991,44391.0
2009-04-04,20.95991,44391.0
2009-04-05,20.95991,44391.0
2009-04-06,20.96869,44167.3
2009-04-07,20.97747,43824.5
2009-04-08,20.98626,44182.0
2009-04-09,20.99505,45538.7
2009-04-10,20.99505,45538.7
2009-04-11,20.99505,45538.7
2009-04-12,20.99505,45538.7
2009-04-13,21.00384,45991.9
2009-04-14,21.01256,45418.2
2009-04-15,21.02128,45272.6
2009-04-16,21.03009,46024.8
2009-04-17,21.03889,45778.3
2009-04-18,21.03889,45778.3
2009-04-19,21.03889,45778.3
2009-04-20,21.04766,44433.1
2009-04-21,21.04766,44433.1
2009-04-22,21.05643,44888.2
2009-04-23,21.06524,45801.2
2009-04-24,21.07406,46771.8
2009-04-25,21.07406,46771.8
2009-04-26,21.07406,46771.8
2009-04-27,21.08289,45819.7
2009-04-28,21.09172,45821.4
2009-04-29,21.10055,47226.8
2009-04-30,21.10928,47289.5
2009-05-01,21.10928,47289.5
2009-05-02,21.10928,47289.5
2009-05-03,21.10928,47289.5
2009-05-04,21.11736,50404.5
2009-05-05,21.12544,50669.8
2009-05-06,21.13353,51499.5
2009-05-07,21.14163,50058.1
2009-05-08,21.14972,51396.0
2009-05-09,21.14972,51396.0
2009-05-10,21.14972,51396.0
2009-05-11,21.15782,50976.4
2009-05-12,21.16591,50325.8
2009-05-13,21.17401,48679.2
2009-05-14,21.18211,49446.0
2009-05-15,21.19022,49007.2
2009-05-16,21.19022,49007.2
2009-05-17,21.19022,49007.2
2009-05-18,21.19833,51463.0
2009-05-19,21.20645,51346.6
2009-05-20,21.21457,51245.1
2009-05-21,21.2227,50087.3
2009-05-22,21.23074,50568.5
2009-05-23,21.23074,50568.5
2009-05-24,21.23074,50568.5
2009-05-25,21.23876,50816.2
2009-05-26,21.24678,51840.8
2009-05-27,21.25491,51791.6
2009-05-28,21.26304,53040.7
2009-05-29,21.27116,53197.7
2009-05-30,21.27116,53197.7
2009-05-31,21.27116,53197.7
2009-06-01,21.27922,54486.3
2009-06-02,21.28727,53999.5
2009-06-03,21.2954,52086.6
2009-06-04,21.30349,53463.9
2009-06-05,21.31162,53341.0
2009-06-06,21.31162,53341.0
2009-06-07,21.31162,53341.0
2009-06-08,21.31976,53630.4
2009-06-09,21.32783,53157.1
2009-06-10,21.33582,53410.9
2009-06-11,21.33582,53410.9
2009-06-12,21.34385,53558.2
2009-06-13,21.34385,53558.2
2009-06-14,21.34385,53558.2
2009-06-15,21.35123,52033.8
2009-06-16,21.35854,51205.8
2009-06-17,21.36584,51045.8
2009-06-18,21.37314,50903.0
2009-06-19,21.38045,51373.8
2009-06-20,21.38045,51373.8
2009-06-21,21.38045,51373.8
