DATE,price
2007-12-31,4.7025
2008-01-01,4.7025
2008-01-02,4.68063
2008-01-03,4.64625
2008-01-04,4.62
2008-01-05,4.62
2008-01-06,4.62
2008-01-07,4.54313
2008-01-08,4.505
2008-01-09,4.4425
2008-01-10,4.37688
2008-01-11,4.2575
2008-01-12,4.2575
2008-01-13,4.2575
2008-01-14,4.055
2008-01-15,3.9975
2008-01-16,3.95125
2008-01-17,3.92625
2008-01-18,3.89375
2008-01-19,3.89375
2008-01-20,3.89375
2008-01-21,3.8475
2008-01-22,3.7175
2008-01-23,3.33125
2008-01-24,3.24375
2008-01-25,3.30625
2008-01-26,3.30625
2008-01-27,3.30625
2008-01-28,3.25125
2008-01-29,3.24375
2008-01-30,3.23938
2008-01-31,3.11188
2008-02-01,3.095
2008-02-02,3.095
2008-02-03,3.095
2008-02-04,3.145
2008-02-05,3.16188
2008-02-06,3.1275
2008-02-07,3.09625
2008-02-08,3.08813
2008-02-09,3.08813
2008-02-10,3.08813
2008-02-11,3.07
2008-02-12,3.0675
2008-02-13,3.065
2008-02-14,3.065
2008-02-15,3.07
2008-02-16,3.07
2008-02-17,3.07
2008-02-18,3.07
2008-02-19,3.07
2008-02-20,3.07813
2008-02-21,3.0925
2008-02-22,3.08
2008-02-23,3.08
2008-02-24,3.08
2008-02-25,3.08938
2008-02-26,3.09
2008-02-27,3.085
2008-02-28,3.07563
2008-02-29,3.0575
2008-03-01,3.0575
2008-03-02,3.0575
2008-03-03,3.01438
2008-03-04,3.00813
2008-03-05,3.0
2008-03-06,2.99
2008-03-07,2.93875
2008-03-08,2.93875
2008-03-09,2.93875
2008-03-10,2.90125
2008-03-11,2.8675
2008-03-12,2.85
2008-03-13,2.8
2008-03-14,2.76375
2008-03-15,2.76375
2008-03-16,2.76375
2008-03-17,2.57875
2008-03-18,2.54188
2008-03-19,2.59875
2008-03-20,2.60625
2008-03-21,2.60625
2008-03-22,2.60625
2008-03-23,2.60625
2008-03-24,2.60625
2008-03-25,2.655
