ID,DATE,CURRENCY,price
BZACCETP Index,2011-04-29,BRL,25.39454
BZACCETP Index,2011-04-30,BRL,25.39454
BZACCETP Index,2011-05-01,BRL,25.39454
BZACCETP Index,2011-05-02,BRL,25.40589
BZACCETP Index,2011-05-03,BRL,25.41722
BZACCETP Index,2011-05-04,BRL,25.42857
BZACCETP Index,2011-05-05,BRL,25.43992
BZACCETP Index,2011-05-06,BRL,25.45127
BZACCETP Index,2011-05-07,BRL,25.45127
BZACCETP Index,2011-05-08,BRL,25.45127
BZACCETP Index,2011-05-09,BRL,25.46263
BZACCETP Index,2011-05-10,BRL,25.47398
BZACCETP Index,2011-05-11,BRL,25.48534
BZACCETP Index,2011-05-12,BRL,25.4967
BZACCETP Index,2011-05-13,BRL,25.50805
BZACCETP Index,2011-05-14,BRL,25.50805
BZACCETP Index,2011-05-15,BRL,25.50805
BZACCETP Index,2011-05-16,BRL,25.5194
BZACCETP Index,2011-05-17,BRL,25.53076
BZACCETP Index,2011-05-18,BRL,25.54213
BZACCETP Index,2011-05-19,BRL,25.55351
BZACCETP Index,2011-05-20,BRL,25.5649
BZACCETP Index,2011-05-21,BRL,25.5649
BZACCETP Index,2011-05-22,BRL,25.5649
BZACCETP Index,2011-05-23,BRL,25.57631
BZACCETP Index,2011-05-24,BRL,25.58772
BZACCETP Index,2011-05-25,BRL,25.59913
BZACCETP Index,2011-05-26,BRL,25.61055
BZACCETP Index,2011-05-27,BRL,25.62196
BZACCETP Index,2011-05-28,BRL,25.62196
BZACCETP Index,2011-05-29,BRL,25.62196
BZACCETP Index,2011-05-30,BRL,25.63338
BZACCETP Index,2011-05-31,BRL,25.6448
BZACCETP Index,2011-06-01,BRL,25.6562
BZACCETP Index,2011-06-02,BRL,25.66766
BZACCETP Index,2011-06-03,BRL,25.67911
BZACCETP Index,2011-06-04,BRL,25.67911
BZACCETP Index,2011-06-05,BRL,25.67911
BZACCETP Index,2011-06-06,BRL,25.69056
BZACCETP Index,2011-06-07,BRL,25.70203
BZACCETP Index,2011-06-08,BRL,25.71349
BZACCETP Index,2011-06-09,BRL,25.72495
BZACCETP Index,2011-06-10,BRL,25.73659
BZACCETP Index,2011-06-11,BRL,25.73659
BZACCETP Index,2011-06-12,BRL,25.73659
BZACCETP Index,2011-06-13,BRL,25.74825
BZACCETP Index,2011-06-14,BRL,25.75989
BZACCETP Index,2011-06-15,BRL,25.77153
BZACCETP Index,2011-06-16,BRL,25.78324
BZACCETP Index,2011-06-17,BRL,25.79496
BZACCETP Index,2011-06-18,BRL,25.79496
BZACCETP Index,2011-06-19,BRL,25.79496
BZACCETP Index,2011-06-20,BRL,25.80668
BZACCETP Index,2011-06-21,BRL,25.8184
BZACCETP Index,2011-06-22,BRL,25.83014
