ID,DATE,CURRENCY,price
SPXFP Index,2011-05-11,USD,111.48
SPXFP Index,2011-05-12,USD,112.21
SPXFP Index,2011-05-13,USD,111.09
SPXFP Index,2011-05-14,USD,111.09
SPXFP Index,2011-05-15,USD,111.09
SPXFP Index,2011-05-16,USD,110.38
SPXFP Index,2011-05-17,USD,110.38
SPXFP Index,2011-05-18,USD,111.46
SPXFP Index,2011-05-19,USD,111.73
SPXFP Index,2011-05-20,USD,110.57
SPXFP Index,2011-05-21,USD,110.57
SPXFP Index,2011-05-22,USD,110.57
SPXFP Index,2011-05-23,USD,109.53
SPXFP Index,2011-05-24,USD,109.38
SPXFP Index,2011-05-25,USD,109.63
SPXFP Index,2011-05-26,USD,110.46
SPXFP Index,2011-05-27,USD,110.75
SPXFP Index,2011-05-28,USD,110.75
SPXFP Index,2011-05-29,USD,110.75
SPXFP Index,2011-05-30,USD,110.75
SPXFP Index,2011-05-31,USD,111.92
SPXFP Index,2011-06-01,USD,109.26
SPXFP Index,2011-06-02,USD,109.3
SPXFP Index,2011-06-03,USD,107.94
SPXFP Index,2011-06-04,USD,107.94
SPXFP Index,2011-06-05,USD,107.94
SPXFP Index,2011-06-06,USD,107.01
SPXFP Index,2011-06-07,USD,106.99
SPXFP Index,2011-06-08,USD,106.34
SPXFP Index,2011-06-09,USD,107.22
SPXFP Index,2011-06-10,USD,105.7
SPXFP Index,2011-06-11,USD,105.7
SPXFP Index,2011-06-12,USD,105.7
SPXFP Index,2011-06-13,USD,105.9
SPXFP Index,2011-06-14,USD,107.43
SPXFP Index,2011-06-15,USD,105.38
SPXFP Index,2011-06-16,USD,105.67
SPXFP Index,2011-06-17,USD,105.88
SPXFP Index,2011-06-18,USD,105.88
SPXFP Index,2011-06-19,USD,105.88
SPXFP Index,2011-06-20,USD,106.53
SPXFP Index,2011-06-21,USD,107.72
SPXFP Index,2011-06-22,USD,107.03
SPXFP Index,2011-06-23,USD,106.8
SPXFP Index,2011-06-24,USD,105.72
SPXFP Index,2011-06-25,USD,105.72
SPXFP Index,2011-06-26,USD,105.72
SPXFP Index,2011-06-27,USD,106.74
SPXFP Index,2011-06-28,USD,108.27
SPXFP Index,2011-06-29,USD,109.08
SPXFP Index,2011-06-30,USD,110.02
SPXFP Index,2011-07-01,USD,111.63
SPXFP Index,2011-07-02,USD,111.63
SPXFP Index,2011-07-03,USD,111.63
SPXFP Index,2011-07-04,USD,111.63
SPXFP Index,2011-07-05,USD,111.8
SPXFP Index,2011-07-06,USD,111.72
SPXFP Index,2011-07-07,USD,113.06
SPXFP Index,2011-07-08,USD,112.22
SPXFP Index,2011-07-09,USD,112.22
SPXFP Index,2011-07-10,USD,112.22
SPXFP Index,2011-07-11,USD,110.27
SPXFP Index,2011-07-12,USD,109.63
SPXFP Index,2011-07-13,USD,109.75
SPXFP Index,2011-07-14,USD,109.29
SPXFP Index,2011-07-15,USD,109.98
SPXFP Index,2011-07-16,USD,109.98
SPXFP Index,2011-07-17,USD,109.98
SPXFP Index,2011-07-18,USD,108.77
SPXFP Index,2011-07-19,USD,110.5
SPXFP Index,2011-07-20,USD,110.5
SPXFP Index,2011-07-21,USD,112.28
SPXFP Index,2011-07-22,USD,112.16
SPXFP Index,2011-07-23,USD,112.16
SPXFP Index,2011-07-24,USD,112.16
SPXFP Index,2011-07-25,USD,111.53
SPXFP Index,2011-07-26,USD,110.92
SPXFP Index,2011-07-27,USD,108.64
SPXFP Index,2011-07-28,USD,108.46
SPXFP Index,2011-07-29,USD,107.77
SPXFP Index,2011-07-30,USD,107.77
SPXFP Index,2011-07-31,USD,107.77
